timestamp,Cell_001,Cell_002,Cell_003,Cell_004,Cell_005,Cell_006,Cell_007,Cell_008,Cell_009,Cell_010,Cell_011,Cell_012,Cell_013,Cell_014,Cell_015,Cell_016,Cell_017,Cell_018,Cell_019,Cell_020,Cell_021,Cell_022,Cell_023,Cell_024,Cell_025,Cell_026,Cell_027,Cell_028,Cell_029,Cell_030,Cell_031,Cell_032,Cell_033,Cell_034,Cell_035,Cell_036,Cell_037,Cell_038,Cell_039,Cell_040,Cell_041,Cell_042,Cell_043,Cell_044,Cell_045,Cell_046,Cell_047,Cell_048,Cell_049,Cell_050,Cell_051,Cell_052,Cell_053,Cell_054,Cell_055,Cell_056,Cell_057,Cell_058,Cell_059,Cell_060,Cell_061,Cell_062,Cell_063,Cell_064,Cell_065,Cell_066,Cell_067,Cell_068,Cell_069,Cell_070,Cell_071,Cell_072,Cell_073,Cell_074,Cell_075,Cell_076,Cell_077,Cell_078,Cell_079,Cell_080,Cell_081,Cell_082,Cell_083,Cell_084,Cell_085,Cell_086,Cell_087,Cell_088,Cell_089,Cell_090,Cell_091,Cell_092,Cell_093,Cell_094,Cell_095,Cell_096,Cell_097,Cell_098,Cell_099,Cell_100,Cell_101,Cell_102,Cell_103,Cell_104,Cell_105,Cell_106,Cell_107,Cell_108,Cell_109,Cell_110,Cell_111,Cell_112,Cell_113,Cell_114,Cell_115,Cell_116,Cell_117,Cell_118,Cell_119,Cell_120,Cell_121,Cell_122,Cell_123,Cell_124,Cell_125,Cell_126,Cell_127,Cell_128,Cell_129,Cell_130,Cell_131,Cell_132,Cell_133,Cell_134,Cell_135,Cell_136,Cell_137,Cell_138,Cell_139,Cell_140,Cell_141,Cell_142,Cell_143,Cell_144,Cell_145,Cell_146,Cell_147,Cell_148,Cell_149,Cell_150,Cell_151,Cell_152,Cell_153,Cell_154,Cell_155,Cell_156,Cell_157,Cell_158,Cell_159,Cell_160,Cell_161,Cell_162,Cell_163,Cell_164,Cell_165,Cell_166,Cell_167,Cell_168,Cell_169,Cell_170,Cell_171,Cell_172,Cell_173,Cell_174,Cell_175,Cell_176,Cell_177,Cell_178,Cell_179,Cell_180,Cell_181,Cell_182,Cell_183,Cell_184,Cell_185,Cell_186,Cell_187,Cell_188,Cell_189,Cell_190,Cell_191,Cell_192,Cell_193,Cell_194,Cell_195,Cell_196,Cell_197,Cell_198,Cell_199,Cell_200,Cell_201,Cell_202,Cell_203,Cell_204,Cell_205,Cell_206,Cell_207,Cell_208,Cell_209,Cell_210,Cell_211,Cell_212,Cell_213,Cell_214,Cell_215,Cell_216,Cell_217
2024-11-30 23:00:00,679910,184242,146608,178257,135765,928697,1807574,218947,141311,71747,263807,742858,224047,243128,119676,396258,443392,95918,662276,748544,256640,1151242,229625,592716,64887,45501,682958,1625802,707020,833465,81015,166223,105839,843755,3069865,175222,398343,553901,551722,1094673,425211,519764,26068,51783,138954,82331,168514,273218,408256,460089,166877,466757,492568,461201,1799221,400364,31101,841180,1077164,696696,961408,432921,388889,613154,458513,1312369,356079,71485,183226,66803,32974,811227,80441,108695,4067813,298830,289031,519400,186003,472274,1333055,876125,171988,153808,537765,153846,528528,1151176,1890826,1265545,361797,227477,366336,418677,50213,303536,153268,242096,615416,800024,24074,1566429,192652,458912,277519,304088,287859,90487,329655,262706,226782,392883,1068869,547880,340140,181841,67605,560021,46254,266888,8995,38954,129072,149992,814810,289725,69037,360517,94511,246282,138118,467500,680205,124612,407149,336470,143373,56894,992564,568587,955929,489877,4404462,490171,25340,116822,231974,108679,90318,123942,49555,118966,192097,241851,1312142,220398,451207,899109,1843932,75883,562557,586965,340138,815594,340663,484698,20891,90805,99791,78091,25966,161503,1018326,1373807,1523989,588449,1859060,47226,655118,195391,978181,249942,4470556,178627,228234,851925,233955,1586826,1607087,693424,1262168,584961,79021,291141,649380,210761,23401,364696,825752,184811,651493,2170885,22685,803816,304164,626709,617390,201717,82993,487042,265401,318528,76020,49166,1207395,597413,679248
2024-11-30 23:05:00,588123,593518,300561,316247,341810,1143221,3303952,415683,240035,95845,400333,793952,591819,226012,237398,1250057,772362,148188,703520,1582281,242848,865286,542989,1307383,138953,181115,1122678,3336745,1407510,1333174,120113,364271,163786,2383366,6283433,290483,825387,1331212,1419517,2080232,1076381,735762,38375,95869,242140,141393,214477,398571,445599,1810681,227017,961616,696863,869147,3026946,838327,26177,1540705,1197102,1526803,1678913,952943,859322,861367,708581,2599892,682585,106400,460984,76682,219130,1013830,181005,260340,7392512,477296,631621,1380247,783831,842960,2715620,1388189,127828,200386,1154929,499180,765742,1493687,1952408,3346731,858998,851272,628753,841453,93347,503534,363458,695065,811081,1833528,56331,2959246,428173,476269,635406,620584,991066,146823,662712,398480,478835,644846,1376849,876277,369899,567687,101657,228090,52620,243174,2994,69023,479441,20882,1298301,646692,110585,790581,169418,341052,277092,1295369,1312967,347283,671080,406890,355686,144239,1525248,915256,5615307,1441310,9754092,1045129,235468,416200,585800,3245135,245198,217763,154207,219178,590369,366916,2792018,510082,381526,1123868,4321230,650103,1042391,711596,581541,1367809,623531,499524,52647,158611,218152,134877,105590,275965,2197976,2311257,2346116,604486,1947749,277725,991657,325276,1046587,379021,7917724,209677,255983,1077497,413029,1605255,2939679,1186143,2107762,1276852,139344,665508,1628393,461816,59202,597850,1168501,333683,1168738,4774521,33677,1465285,530978,1600035,1223605,323705,189977,992956,411496,343883,354098,97472,1446520,1471708,1102690
2024-11-30 23:10:00,738886,304702,777113,347210,618266,2379884,2140329,378350,261092,173198,810768,494177,649532,421943,293173,1469970,761376,146610,1268638,1257531,271987,565812,419292,1359704,103427,132917,981763,3325744,1225835,1640314,46963,354251,170756,1615745,6654966,321087,562465,1180182,1504942,2119699,1033253,981265,42861,155339,236455,105154,148076,359493,1143339,1880000,363165,1172887,615835,678005,3466449,898093,59310,1745038,1473377,1419729,1750879,688959,919383,876700,658945,2496727,575407,234719,278660,106214,392640,820475,401679,172057,7120772,409606,649933,388556,400516,467331,1285732,1328005,150725,285573,1174616,607734,352190,1370672,2392557,3116848,939419,1006280,532651,714584,133301,222158,208838,1430585,676415,2356059,41808,2786473,396650,484301,643300,798557,862169,206926,477869,478462,500907,613982,1341333,658190,1049929,1030284,295590,233238,57465,214852,80770,70434,477376,55370,1761011,193905,172122,676819,165711,377363,184423,1166780,1195759,462037,657010,1144659,193211,162958,1460429,1222265,3488773,1564401,9837012,991569,56331,250004,997491,3311081,189807,211541,80269,178255,1020516,291421,2210990,876014,216241,1471663,3737575,649302,1357763,528676,321252,665739,447247,309362,42177,194015,421173,139485,49382,300391,1823933,2621052,2132333,506102,2435073,96798,948308,398735,1956211,222254,7845283,124341,98257,1322854,517538,1473667,2866957,1205990,1793714,1732138,148668,689673,1015864,435539,67923,536039,1034215,373125,1089929,4633004,11467,1087662,603795,1480553,2470273,375219,214768,598370,504629,292839,87857,80072,1024092,1691260,1220712
2024-11-30 23:15:00,736459,199276,283338,462609,1013307,1465191,1871590,464987,290766,95146,488307,462581,878631,227536,284882,1417513,1009860,131169,1297745,1195227,234880,535612,260481,1245422,105966,237992,1499854,2432499,885778,1321364,34066,345207,168549,958437,6273977,408341,522712,712173,765628,2261059,1042170,759701,94193,135394,193794,54886,77038,332519,485758,1898440,267095,2003286,353941,1600188,4062510,717582,52407,1593703,621282,1367466,1781552,896268,1101826,985946,919901,2517450,521040,303202,343047,95764,67313,394934,460910,240713,7451632,283495,1210697,373347,409997,387318,1059812,985421,124093,298089,1459019,1151606,68285,1430102,2629067,3752114,839792,966700,567954,942101,297262,183174,179944,533370,644380,1628877,50491,3065920,316363,637935,555675,660086,1615549,171039,713413,352654,360304,762598,1549812,721645,4926368,100802,275502,366236,23595,319259,33066,65189,417593,56472,2249204,212962,248496,604470,190719,523751,303042,992055,1226084,292280,698120,369847,363929,178995,1529947,946424,1470245,1568597,9812658,978378,43016,246318,1189139,372391,250043,183599,99214,127554,717588,327185,2346929,1215081,298802,1707624,3316672,293369,1173086,642855,233698,478926,336250,322833,85302,161896,179563,169327,79045,464091,1540137,2574347,2118067,727833,2040423,93247,936455,468828,2030604,287421,7943275,108488,249291,1752257,585258,1099165,2808953,1140257,1971947,1116799,166192,834886,1240328,470596,58586,556404,1377768,309328,1067296,4233306,6943,1167745,573730,1298016,676597,379442,362792,608498,287943,339727,33623,58143,1819231,586798,1294299
2024-11-30 23:20:00,386035,371037,517479,352370,406281,635677,1635233,423908,233310,371190,439714,409253,910397,330400,286817,1024492,1395444,207935,1042090,622439,267798,475893,142348,1031264,65818,265531,1196514,2293494,1204140,1242917,33289,392532,165745,1311004,6824344,358470,647439,621728,868106,2033603,850179,1347360,271086,107406,152338,146050,77499,333989,601371,3072778,120940,1573261,428829,772378,5368180,891941,38022,1516764,444845,1093669,1508118,1116089,852325,2005108,930377,2543822,987688,235019,286851,91784,182607,381423,235674,149184,7672808,296901,655451,761948,193980,520498,906126,1021619,179042,596611,1304263,893482,75503,1581655,3842183,2976332,1027833,677874,268995,1384825,209318,195121,142251,510049,634444,1912468,84705,2981073,335035,623249,599491,878542,1066412,112657,723769,404112,524438,461967,2018729,459169,5222176,57093,265975,717029,41101,200406,142120,63346,198537,27820,1985216,250756,205575,686325,180955,371120,253423,1104750,980495,348281,563710,444722,322990,135922,1125980,723725,1362898,1299105,9839073,1045970,47554,248817,1095170,118085,262002,219282,119235,172967,479989,205335,3831598,1394883,140447,2339445,3292816,596959,996252,506346,640686,1057647,420938,328395,86735,83488,135473,206793,86271,333370,1827686,3131423,2238251,652501,2230629,84966,2064042,240089,2422627,404164,7728836,189692,110500,1699227,644163,976756,2202840,1180264,1910278,1104606,144167,651866,1107534,517878,38064,628333,818250,532767,1114319,4195263,15007,1559209,635061,1566175,889696,340911,209616,558275,232141,221555,32866,42663,1312291,542397,906659
2024-11-30 23:25:00,267551,797261,202387,299712,209781,601060,1764215,309022,234516,236621,696325,413432,557470,362758,208180,845891,1441114,110097,1307228,538967,255243,621773,127230,765322,67374,828034,1907630,1725277,1369433,2432715,33497,402610,166843,1543287,6395483,301350,645820,500146,680639,2973890,1040624,929469,456647,94348,117338,70431,127850,378530,1226295,2597716,102340,886632,380093,1451066,6729735,748818,46869,1607351,497668,725634,1729685,1160031,855478,2454698,817053,2544574,1127114,286671,242501,182352,168271,577130,227167,130469,7409692,282099,1027399,666797,203110,648184,904133,1303685,125729,746663,1353378,237025,190024,1972512,6123424,2979301,1085560,1004751,644067,650229,211375,319880,79994,491870,646383,663851,33075,3154933,581115,623710,504087,3184216,686736,91024,483281,489868,369343,403690,5766401,315095,2111234,180724,120351,938217,74457,137877,90130,93550,91134,39946,2910005,397569,138246,420112,260146,363903,396777,272931,487889,360570,977588,336894,258690,162127,1338544,691308,1433822,1547835,9768479,998499,56984,170192,1269428,198882,207909,193231,128069,178907,487731,190636,3674427,1572779,106405,2569331,4110684,355146,755392,595048,649904,789483,517399,336023,60520,94085,223605,111551,116814,255815,1809846,3309758,2155137,547345,1665949,213974,2119403,151010,1645927,455716,8049192,122220,61853,2663431,497642,746685,2051384,1232279,1836245,512509,173014,789844,1168026,553993,41550,335879,672347,412858,1144968,4496430,207919,1225283,654148,1736607,1155102,280817,137554,526367,167187,247478,37664,42982,819884,295233,1469764
2024-11-30 23:30:00,368592,304216,243590,223551,345569,437014,1455469,426690,220234,319333,956048,329009,439851,98422,217142,960319,740000,120252,1023730,501520,227118,493787,124558,911086,39687,284434,2912936,5337525,1551482,2359504,32265,265617,143521,924046,6591482,181082,712279,436475,885121,1354381,888103,733411,341310,111509,187515,155598,121456,295893,621313,2750738,100528,1262852,697632,948090,6048637,991131,77901,1691010,502974,889920,1963523,911030,910769,1970618,836190,2620270,967588,408488,341495,335400,230013,370521,171990,199475,7601472,241929,1055203,670525,280009,698218,817719,1426630,90318,376943,1173539,399539,207218,1738595,4076972,3227057,610620,2967956,801083,1019514,74091,218883,128577,374091,499366,802684,90750,2823588,347345,679701,507357,1441664,541266,93718,771050,435941,362858,362814,3416975,306280,491193,520145,131545,1155964,37402,175709,95463,62494,88694,159173,2315955,285797,146779,507511,315165,283668,111502,419307,463030,239212,549725,320780,230196,200892,1198731,610186,3725447,1197005,9727029,722586,51700,335566,1209817,100463,793534,157378,79633,282986,675928,216388,4363594,300573,87425,1984239,3753125,221986,566984,1153444,270169,1013859,633985,211360,114175,193262,102851,83716,69313,276177,1397318,4005825,1689657,504983,2172804,183777,1438082,119232,2645289,532263,7218855,186502,88129,2710753,343095,1000437,1841460,1316475,1670973,387306,89460,494658,1124404,469964,24482,231050,693863,340651,1520884,4308215,244018,1351409,695385,1354913,1139381,249286,166112,783235,203059,528701,55955,32857,760969,305274,1637552
2024-11-30 23:35:00,377091,528615,166603,267400,338071,491867,1407751,443242,211095,125117,1239593,665345,568557,206822,250470,433571,721119,122204,734410,274105,195525,370938,169234,879855,48125,177996,1212845,2516395,1203913,1843518,27288,654426,305102,794062,6875225,144422,812260,1022987,652125,1340306,918935,1139411,103430,94721,211622,137935,159431,196659,782202,2573629,94014,910362,903692,896128,5505793,710669,51732,1780023,534963,919394,3717989,950781,1255834,1703745,692978,2588805,3814237,229093,395665,77659,164398,339915,299485,180080,7352679,280153,933908,576356,322123,498154,837339,1400109,52455,303779,1451304,134574,68562,1597541,4066066,2699621,403559,974690,1104604,1082132,132936,208913,93669,361689,513818,698954,51696,2665247,392227,504892,447117,1503592,678957,128623,733231,385540,604168,713711,1211112,244091,505709,43032,238504,1341150,51526,164794,114383,157157,284936,69608,2012430,231064,1742693,355589,269758,297835,127356,464725,476899,240084,526941,550510,153020,209775,1462808,756803,1955957,1258022,9871929,481267,39368,236672,1340567,480287,308405,75180,71988,1073728,389067,180662,2831731,251435,98580,2258417,3081441,403944,637872,1334736,228055,431895,526533,191535,159945,152420,130471,73742,20106,224970,1364020,2711718,1644118,495587,2206700,99832,1356533,117086,1106506,247363,7471431,98148,101148,1760381,495781,1730283,2173544,1764465,4532851,942289,158084,320198,1413570,816660,30338,157997,654101,335572,1024638,4643861,6995,1151176,886876,1132563,1264058,299120,816952,434890,222404,305043,37029,23602,885744,264275,2403781
2024-11-30 23:40:00,573567,510108,168113,260583,155070,510172,1220247,387564,232511,108346,454173,243285,684553,104052,147248,579985,754694,142677,640953,557075,212593,422085,197695,898870,55558,337383,1157720,1967372,738759,1614404,31105,653765,244696,772158,6636049,153243,640736,579845,534012,1161610,875074,811056,162023,46718,131414,278603,119545,407833,1292578,1442286,155999,596432,924458,1316560,4963241,660878,88881,1567087,650538,585946,4153739,1581550,828954,718478,790041,2570615,1249981,277580,299835,65319,61680,597956,156410,133299,7769778,385353,1042727,542084,474855,362096,953444,1757564,70402,415875,1164249,189532,73847,1455532,2108078,2605600,1080793,730106,1125448,1299546,124703,265206,154709,355641,835972,1521646,47143,2779985,429240,532421,501682,837450,846520,131200,365742,565500,572220,755775,2499902,295380,409352,96896,190492,206384,71590,172061,139684,215982,53716,54973,2021609,270188,21351,429343,311417,280473,167540,292111,701040,341878,753841,703946,261806,172399,3213321,844236,2061749,847941,10029873,495456,35158,213607,1167080,73752,194193,90878,66895,1346707,265535,229037,2863031,374021,61143,1302425,3100043,201295,620287,1353691,815041,739605,1084311,594049,103509,152794,162213,92333,17862,290605,1083543,2292614,1993262,470812,2240276,81084,1222758,396859,1472909,153988,7422425,137941,79014,2498054,641178,742780,2382828,401494,1566779,275870,117809,259058,1469896,961873,54914,286932,834890,254259,1238672,4397518,6722,1623429,648074,1538517,1620464,263070,106522,424962,145720,317485,51949,39471,986884,572218,1230188
2024-11-30 23:45:00,469141,390597,165798,189748,126510,912283,1265384,177627,215922,78294,507573,485599,286340,420175,173283,972624,962470,101806,552297,538428,397434,384995,183976,859420,78573,585100,1213560,1968566,813426,1616118,26494,708300,149571,817111,6507008,117333,476516,758265,475047,1169651,903780,1113613,71161,75320,147379,158603,78189,215858,730584,508345,225757,1030181,783913,5038290,4399071,655787,33405,1220689,521329,667784,5195083,1270062,657189,413286,1208705,2525297,1198101,242756,255054,236735,106867,742973,122504,187357,7900191,319413,1148130,504264,459001,683275,1070578,1811276,67421,234501,1099579,140386,49418,2071569,1598800,1848097,412914,812982,959066,1506875,607487,142779,200121,783259,787673,1127403,47549,2617108,321797,1275623,465733,499409,760147,174642,348772,588660,911168,428154,1147570,651898,1356047,77987,241902,114747,63193,202139,112155,58298,53585,15235,1756349,242253,40211,438916,442057,202080,114104,365410,447712,273468,459220,1083383,227779,117235,1134135,1472009,1949255,815936,9822223,502548,73238,217647,1001521,112673,184292,102060,70518,1136630,310307,329949,3171517,176142,138446,1276545,2758468,196764,447007,1357936,603580,412422,448303,347284,80455,143885,205510,67490,27991,348067,1835494,2025528,5657766,462742,2096858,46592,1701845,711050,1786363,225849,7065908,118084,159151,1706996,846719,1206194,2092193,426321,2019792,252818,109339,345147,1685545,1267720,97900,316739,1030654,234370,1211655,4605143,7197,2159455,564172,789245,1477406,252318,104626,417504,232922,227135,107661,220334,743619,365394,1377271
