timestamp,Cell_001,Cell_002,Cell_003,Cell_004,Cell_005,Cell_006,Cell_007,Cell_008,Cell_009,Cell_010,Cell_011,Cell_012,Cell_013,Cell_014,Cell_015,Cell_016,Cell_017,Cell_018,Cell_019,Cell_020,Cell_021,Cell_022,Cell_023,Cell_024,Cell_025,Cell_026,Cell_027,Cell_028,Cell_029,Cell_030
2024-11-30 23:50:00,1859060,1265545,899109,815594,961408,803816,955929,1151176,201717,1607087,1843932,277519,1333055,1373807,1312142,432921,626709,303536,460089,1018326,662276,843755,1523989,800024,680205,466757,458912,592716,425211,396258
2024-11-30 23:55:00,1947749,3346731,1123868,1367809,1678913,1465285,5615307,1493687,323705,2939679,4321230,635406,2715620,2311257,2792018,952943,1600035,503534,1810681,2197976,703520,2383366,2346116,1833528,1312967,961616,476269,1307383,1076381,1250057
2024-12-01 00:00:00,2435073,3116848,1471663,665739,1750879,1087662,3488773,1370672,375219,2866957,3737575,643300,1285732,2621052,2210990,688959,1480553,222158,1880000,1823933,1268638,1615745,2132333,2356059,1195759,1172887,484301,1359704,1033253,1469970
2024-12-01 00:05:00,2040423,3752114,1707624,478926,1781552,1167745,1470245,1430102,379442,2808953,3316672,555675,1059812,2574347,2346929,896268,1298016,183174,1898440,1540137,1297745,958437,2118067,1628877,1226084,2003286,637935,1245422,1042170,1417513
2024-12-01 00:10:00,2230629,2976332,2339445,1057647,1508118,1559209,1362898,1581655,340911,2202840,3292816,599491,906126,3131423,3831598,1116089,1566175,195121,3072778,1827686,1042090,1311004,2238251,1912468,980495,1573261,623249,1031264,850179,1024492
2024-12-01 00:15:00,1665949,2979301,2569331,789483,1729685,1225283,1433822,1972512,280817,2051384,4110684,504087,904133,3309758,3674427,1160031,1736607,319880,2597716,1809846,1307228,1543287,2155137,663851,487889,886632,623710,765322,1040624,845891
2024-12-01 00:20:00,2172804,3227057,1984239,1013859,1963523,1351409,3725447,1738595,249286,1841460,3753125,507357,817719,4005825,4363594,911030,1354913,218883,2750738,1397318,1023730,924046,1689657,802684,463030,1262852,679701,911086,888103,960319
2024-12-01 00:25:00,2206700,2699621,2258417,431895,3717989,1151176,1955957,1597541,299120,2173544,3081441,447117,837339,2711718,2831731,950781,1132563,208913,2573629,1364020,734410,794062,1644118,698954,476899,910362,504892,879855,918935,433571
2024-12-01 00:30:00,2240276,2605600,1302425,739605,4153739,1623429,2061749,1455532,263070,2382828,3100043,501682,953444,2292614,2863031,1581550,1538517,265206,1442286,1083543,640953,772158,1993262,1521646,701040,596432,532421,898870,875074,579985
2024-12-01 00:35:00,2096858,1848097,1276545,412422,5195083,2159455,1949255,2071569,252318,2092193,2758468,465733,1070578,2025528,3171517,1270062,789245,142779,508345,1835494,552297,817111,5657766,1127403,447712,1030181,1275623,859420,903780,972624
2024-12-01 00:40:00,1859381,2669040,1200734,473634,887958,1270957,1485023,1374143,399326,1919833,4214194,425560,1747114,1954040,4121313,1563907,947307,273593,593073,1930419,710292,882840,1606718,1065098,326988,1061901,1842243,938891,647574,649019
2024-12-01 00:45:00,1933389,3508893,1768138,538332,986070,851367,1414103,1370123,315856,1336262,4445596,362604,1127445,1730706,3056472,1029678,1091386,256007,735887,956039,889458,760583,1842269,850865,709810,1205347,2266697,838669,639143,299649
2024-12-01 00:50:00,1886796,2438227,1625679,596080,1149531,608020,1591334,1882993,306141,1076843,4483070,443059,1362533,1694097,1815059,1114946,909658,182442,610205,995154,723564,520696,2066184,467491,432209,720406,1853074,816857,505237,243139
2024-12-01 00:55:00,2125380,1237087,1933418,1396537,1021070,561752,1382381,1860154,316542,1218062,3435317,343636,1356811,1626011,1667695,834188,891237,195720,566547,888626,695375,462807,4098015,625374,362658,1028847,1683544,807821,498937,281389
2024-12-01 01:00:00,2402456,1443230,3185110,789224,1000573,591535,1918175,1671580,232844,1993088,4165313,460679,1264097,2439945,4061544,954511,1160145,201468,472682,1460565,817617,367589,5931006,991943,203095,1532395,1742116,537151,610889,223506
2024-12-01 01:05:00,1388005,1731549,2427948,408439,1006228,605941,2122500,1873722,574059,1592277,2783345,491293,1412326,2349647,3100038,887122,1320692,112137,487774,1099619,1169193,476609,3274605,1066670,297908,1430351,1361760,458271,553076,268565
2024-12-01 01:10:00,1609817,1807830,1370086,198556,1131331,462623,1915635,2139156,248097,1236415,2656088,418729,1534616,1945206,3816116,998651,985130,120770,437911,629089,984178,409708,1002304,679492,400134,1485254,1934036,238388,830858,253122
2024-12-01 01:15:00,2147776,2801849,2196864,514390,954714,548217,1777392,1827216,158228,1515111,2325698,441672,1447579,2050801,2310749,881356,1208049,152433,926785,783982,559082,594570,1472180,614236,509184,1934188,1843203,280318,1257305,618558
2024-12-01 01:20:00,2256280,1222029,1209476,417323,1214452,634694,1642704,1269958,231702,3736893,2580186,571660,1412783,2797935,3476542,1248141,947607,259295,444387,542215,577036,1038174,1261322,905495,278730,1201332,1604024,330980,776305,277607
2024-12-01 01:25:00,2525926,1530696,1382077,263384,1257877,747376,1762179,1110738,354615,3456736,2501987,509735,1392547,1750591,4647869,1237727,599401,155941,514352,390577,811858,408822,991118,455299,406478,1293682,1957372,311107,557429,350199
2024-12-01 01:30:00,2217407,1537374,2186177,220621,1053672,622352,1548355,971600,331905,2216552,2149184,357550,1318904,1590443,4295871,1412368,661822,132330,329825,513890,574308,432501,1925959,335374,530469,1011078,6652833,358842,412858,557543
2024-12-01 01:35:00,1591646,1577600,1514256,185756,860982,725770,1679876,1200025,304559,2305096,2149574,322479,1479183,1415004,2785600,728714,538843,101836,356766,458900,744423,486347,1078503,357270,643358,520952,1035400,300612,573827,446832
2024-12-01 01:40:00,1779681,1516475,2750504,158778,811882,559926,1539694,956559,183540,2299964,2075251,346814,2799567,1267309,965165,1113671,534137,255322,294700,346034,656758,400540,578244,379391,440636,653554,840984,205638,678542,383473
2024-12-01 01:45:00,724216,1947027,1642417,321034,730477,559002,1442914,692649,205692,2404394,2151268,289337,1544887,1266125,536570,1099771,470527,125587,482844,320941,818893,515226,1311757,344648,448495,423058,595215,230408,746269,304011
2024-12-01 01:50:00,803693,1745934,2825325,236242,742807,435083,1836730,632309,192879,2262038,2619184,279308,1063885,1254882,481915,1242275,427212,108265,388718,367251,800269,480327,959824,360018,342042,396709,307117,207930,632179,282558
2024-12-01 01:55:00,680032,1862985,1359167,177423,660534,406201,2027054,547571,146087,2154812,1945881,294422,991098,1158512,723410,668503,333736,41638,318077,352493,662428,305739,742711,523187,379489,597257,1090258,205295,433538,309188
2024-12-01 02:00:00,729211,1666744,2846003,232081,862308,462384,1876711,1264269,511491,1769827,2122945,248450,633597,1338915,652462,407902,724377,152719,344764,421608,846992,363663,818107,497918,224807,553455,884242,203290,331459,392200
