timestamp,Grid_001,Grid_002,Grid_003,Grid_004,Grid_005,Grid_006,Grid_007,Grid_008,Grid_009,Grid_010,Grid_011,Grid_012,Grid_013,Grid_014,Grid_015,Grid_016,Grid_017,Grid_018,Grid_019,Grid_020,Grid_021,Grid_022,Grid_023,Grid_024,Grid_025,Grid_026,Grid_027,Grid_028,Grid_029,Grid_030,Grid_031,Grid_032,Grid_033,Grid_034,Grid_035,Grid_036,Grid_037,Grid_038,Grid_039,Grid_040,Grid_041,Grid_042,Grid_043,Grid_044,Grid_045,Grid_046,Grid_047,Grid_048,Grid_049,Grid_050,Grid_051,Grid_052,Grid_053,Grid_054,Grid_055,Grid_056,Grid_057,Grid_058,Grid_059,Grid_060,Grid_061,Grid_062,Grid_063,Grid_064,Grid_065,Grid_066,Grid_067,Grid_068,Grid_069,Grid_070,Grid_071,Grid_072,Grid_073,Grid_074,Grid_075,Grid_076,Grid_077,Grid_078,Grid_079,Grid_080,Grid_081,Grid_082,Grid_083,Grid_084,Grid_085,Grid_086,Grid_087,Grid_088,Grid_089,Grid_090,Grid_091,Grid_092,Grid_093,Grid_094,Grid_095,Grid_096,Grid_097,Grid_098,Grid_099,Grid_100,Grid_101,Grid_102,Grid_103,Grid_104,Grid_105,Grid_106,Grid_107,Grid_108,Grid_109,Grid_110,Grid_111,Grid_112,Grid_113,Grid_114,Grid_115,Grid_116,Grid_117,Grid_118,Grid_119,Grid_120,Grid_121,Grid_122,Grid_123,Grid_124,Grid_125,Grid_126,Grid_127,Grid_128,Grid_129,Grid_130,Grid_131,Grid_132,Grid_133,Grid_134,Grid_135,Grid_136,Grid_137,Grid_138,Grid_139,Grid_140,Grid_141,Grid_142,Grid_143,Grid_144,Grid_145,Grid_146,Grid_147,Grid_148,Grid_149,Grid_150,Grid_151,Grid_152,Grid_153,Grid_154,Grid_155,Grid_156,Grid_157,Grid_158,Grid_159,Grid_160,Grid_161,Grid_162,Grid_163,Grid_164,Grid_165,Grid_166,Grid_167,Grid_168,Grid_169,Grid_170,Grid_171,Grid_172,Grid_173,Grid_174,Grid_175,Grid_176,Grid_177,Grid_178,Grid_179,Grid_180,Grid_181,Grid_182,Grid_183,Grid_184,Grid_185,Grid_186,Grid_187,Grid_188,Grid_189,Grid_190,Grid_191,Grid_192,Grid_193,Grid_194,Grid_195,Grid_196,Grid_197,Grid_198,Grid_199,Grid_200,Grid_201,Grid_202,Grid_203,Grid_204,Grid_205,Grid_206,Grid_207,Grid_208,Grid_209,Grid_210,Grid_211,Grid_212,Grid_213,Grid_214,Grid_215,Grid_216,Grid_217,Grid_218,Grid_219,Grid_220,Grid_221,Grid_222,Grid_223,Grid_224,Grid_225,Grid_226,Grid_227,Grid_228,Grid_229,Grid_230,Grid_231,Grid_232,Grid_233,Grid_234,Grid_235,Grid_236,Grid_237,Grid_238,Grid_239,Grid_240,Grid_241,Grid_242,Grid_243,Grid_244,Grid_245,Grid_246,Grid_247,Grid_248,Grid_249,Grid_250,Grid_251,Grid_252,Grid_253,Grid_254,Grid_255,Grid_256,Grid_257,Grid_258,Grid_259,Grid_260,Grid_261,Grid_262,Grid_263,Grid_264,Grid_265,Grid_266,Grid_267,Grid_268,Grid_269,Grid_270,Grid_271,Grid_272,Grid_273
2024-11-30 23:50:00,61960,14066,2924293,14466,8576,2716,18563,0,10248,5698,6417045,0,0,4219923,0,5785,3539,2889,217,0,626,46732,44266,49335,45730,43758,15725,3556699,40423,85072,119678,2087,0,23278,5503,47177,155,16335,40487,20609,2124042,50775,6564,1011,17676,6,50492,0,62524,3227950,5466,22925,1987,28453,29785,82,893,4152,330,30801,1949279,0,3337,3281,3361,1890,3134,0,3317406,0,6720,1040,14787,773245,768,187,3915,75,0,5976,2601,7243339,22232,3009,33795,10605,0,3231,31434,4237170,17359,7621,9,6157,1074,21073,482,1285,5077,2402314,9900,544,79413,62,1177,32200,1547,1368,1507629,4534,16797,242439,10937,1908,10160,11377,3139,0,1078,3404950,5061,801,6368638,1289,12480,4337,8532,6471,19839,101,5321,1419,2086424,67847,14361,3073731,0,11375,4624,213468,19740,0,3,3442,43942,6293,1464,1051922,20529,104788,8837,1246,777786,197,17030,1224744,23613,14040,5389,14209,41422,27709,0,24500,12385,1260,30916,92,4273817,34782,3249,456,26693,1114928,5295,153,10973,423,91,12241,1013,2016,2762,2935,0,0,26950,3636073,7897,0,39866,6573,0,5899,0,24237,0,19417,4610293,21982,453,1019,3233,15477,3824,2924,18482,664,4770,1517863,11418,25373,8158,125161,936,2478633,13810,66245,61640,6628,106,0,24569,66,58136,759,0,455,180,66870,0,1875,2563450,774,42,46800,1355836,14209,99069,0,4130,7934,760,0,787,0,0,0,990171,0,0,0,15,1967060,20825,544,4335,17,8000,10535,2082,6311,558,18973,1402179,4694,525,54846,601,2316,835,12771,1282
2024-11-30 23:55:00,46367,18066,3232747,14118,24187,27989,25933,297,19537,4428,11252617,0,390,7503420,242,4827,20632,15429,10235,1743,0,125647,5437,41701,96388,30314,14303,6590439,6916,57013,366366,696,3893,92091,2708,65429,5706,33241,223759,35497,3727289,119331,993,4024,63004,6242,74845,3605,105855,10677404,6090,16776,14169,20293,21665,425,9967,27164,11151,42185,7569524,0,956,10223,6445,463,389,952,5083876,0,31780,349,1334,1393643,2729,0,11763,311,0,5485,753,13855808,25962,1616,12409,26628,32014,3043,9957,9038705,92807,9517,10927,10820,2706,25396,23,66,952,5326122,30839,39,370044,3278,7082,18136,10905,4635,3463308,140,36802,256363,14140,1709,25007,10127,5341,23383,784,5983043,29131,920,12938895,3860,9444,23447,229,3089,24502,3378,45202,3285,4124617,100302,24559,10458907,811,28460,1798,370426,8636,1,4,5507,91089,2652,661,1975860,72284,206490,11318,2727,1074607,2051,23312,3005573,71083,23054,6895,25324,27134,24058,0,88259,36461,20753,9891,11739,7846647,38331,32350,31117,44279,1567316,4786,170,8294,375,20,320,148,1258,2793,2494,0,0,20293,8023921,64191,466,26626,30113,676,119163,63232,181234,0,13891,7415935,7361,206,2465,11706,26342,5561,1215,77530,15058,23830,2934955,15632,351961,12514,76872,650,4653501,16294,75607,136565,30405,1756,0,123205,1,45836,52949,0,9300,596,31399,4457,9012,4843786,5294,746,389,2345154,4935,12738,5870,11276,15817,449,0,13779,0,0,0,1526115,0,200,0,5675,3595538,42557,15711,10693,4578,17621,36270,12973,30431,4336,7287,2471533,217376,350,21334,221,19752,44302,336839,40534
2024-12-01 00:00:00,69319,32474,4445400,12590,20923,50422,30880,155,31813,0,10732409,0,1704,8717270,0,2690,6344,2768,12954,0,0,111817,3237,32078,25530,62446,11745,5180683,12868,68139,189888,566,29641,16287,69,16175,7991,99641,38431,10647,4494675,77760,1573,220,37950,85,71268,2287,36253,8402801,4387,9976,5151,22226,29502,0,2960,23630,5133,35093,6026362,0,1915,75154,11658,67,68,0,5384997,3,49409,2366,3227,2399714,7542,766,16392,236,0,34261,17925,13281074,40578,54385,51841,29724,34216,21546,30141,8371251,68889,5491,5289,2689,3837,6213,11809,330,2995,5509343,44494,282,247034,3921,1772,12893,2969,3906,1673014,15368,14779,244257,19834,1061,138029,11737,6113,699,1023,5705828,19473,819,13455462,4943,14767,13578,45,3145,17411,16175,14662,15903,4145739,67031,4402,9116058,836,3565,147,194832,38584,1421,238,6683,26148,2989,1897,1583925,15464,347981,12760,5579,943597,10072,43056,3942030,40068,2332,27257,7094,24159,20584,0,45275,7841,3045,35659,2321,6589714,42848,10481,5272,7490,2367999,5196,5632,17930,11651,6451,4062,1129,507,2157,437,221,0,17639,7248190,36270,624,41534,21222,341,52076,27354,38766,1,17195,6829882,18953,111,6207,21298,21111,10664,1363,35249,8472,4195,2955438,27825,582883,6913,42621,5817,4649932,15219,48098,60799,8136,780,238,7379,0,51190,40869,1069,7446,648,13007,13862,18158,5518940,213,77,8055,2783921,8860,29936,0,1109,91062,964,0,17698,0,0,0,1451057,0,662,0,1209,4097005,31420,3230,6282,142,20125,27088,7893,28707,5465,3337,2546687,310830,7674,28031,920,13647,16941,301839,25365
2024-12-01 00:05:00,242979,51177,4159138,30606,20048,35268,29903,0,27386,0,11513936,0,0,8161559,7517,821,10440,10361,255853,0,0,26534,2149,11754,11990,28110,12889,4806307,23872,35013,56605,1790,2690,15054,9571,11153,8333,52899,22558,6329,4701328,164644,6,0,43359,110,54963,0,96057,12713663,5531,17197,2582,44189,49153,53,4494,732,2837,15910,4102119,0,13133,15931,12314,18,0,222,5334107,0,68702,4288,12641,1366333,13483,10762,13099,106,0,23558,5345,13322676,17917,64016,37252,13112,95539,36348,69194,8184676,109157,5521,334,24,4781,2307,6160,783,4874,4884164,43824,143,286663,4652,3044,52650,4008,3400,1434464,6919,23346,132967,20513,7697,12579,12205,4952,0,1057,6153335,39457,0,13241911,19512,6728,19486,1201,28158,12228,10707,25768,21198,4751681,54545,8699,13182327,0,252,123,391174,64122,0,0,4795,26287,6485,1490,1827495,12645,140699,6812,1083,1414103,22924,13569,3054491,49525,13074,4590,5374,20574,15040,0,20844,7109,18962,7742,748,6635120,25762,9705,4950,11985,2253212,3777,12461,6513,1907,199,491,261,4463,9167,0,0,0,13176,6615010,14968,102,25051,7598,0,17052,294,12382,2,2310,7228486,12504,0,2986,6686,10715,1865,10406,9241,8629,2719,1831258,19064,650995,2326,68189,1756,4810963,592,60409,68554,7783,2656,11,6778,0,54322,15639,23291,11748,1556,28557,1996,56793,7417546,0,179,1916,2626852,3637,8514,0,760,18075,1069,0,16220,39,0,1046,1268588,14,3326,0,7278,3092127,134484,14218,3272,123,29296,66588,11629,13426,31535,21851,2449494,420704,4690,32672,3727,20606,4303,222997,12533
2024-12-01 00:10:00,340556,44610,4365990,23626,12220,15673,16307,0,194683,0,12411188,0,1644,9458570,0,6386,16991,19202,9238,0,3698,112150,6795,21906,33113,86027,17874,4975977,10594,134123,159702,1796,7958,27737,15465,7809,10026,102300,11379,13042,4574723,139686,786,237,38578,871,67164,788,27896,3588478,2751,19415,19148,19957,45827,2,1925,2980,1274,28366,2968786,1657,1866,176,5288,787,165,1286,5849469,0,17979,5963,14473,1005973,16959,10341,25361,1613,0,11035,4514,15258516,62802,50119,35703,11829,232137,112638,42382,9556703,85713,538,715,47,539,11311,720,334,2372,5244492,21563,1089,28345,22706,11145,11657,21605,1247,1735326,423,46534,20498,25820,1728,84936,23341,6048,221,1205,6186469,18344,168,13710821,41546,12401,36187,0,94092,72034,16188,7087,22659,4883619,87309,9987,4017768,906,13932,2259,334706,26950,75,515,3625,28771,1363,679,1512741,11261,526288,936,1972,1721229,13131,10875,4255576,51047,40301,5488,20668,58555,27932,3099,39526,10115,6697,15048,1034,7622740,33809,6693,10332,17233,2250870,6109,1538,25671,1185,24,86,1061,830,4509,7236,0,0,50337,7012227,24637,68,46320,9241,370,12250,49179,85766,1,5,7977978,11210,0,251,3664,32853,7589,44897,7619,13404,60136,2452559,13761,357763,4323,53493,4145,4652722,20481,39926,43116,9340,810,4,30412,742,89769,137,14163,18753,2563,19224,595,18583,7436943,107,6,16386,2119935,860,1674,0,2674,53718,259,13,3146,0,43,0,1125935,0,548,280,1544,3372182,54153,4970,1785,113,13192,43036,7225,16640,27990,49565,2703823,449162,9360,21491,5808,38845,33661,131649,12106
2024-12-01 00:15:00,41879,22193,3584126,11169,12326,28192,11196,0,88210,20806,15300543,0,0,10392515,0,18849,16896,15849,4340,0,2817,55130,23832,7052,10146,60695,2072,5349377,16800,73397,89484,101,0,14797,1427,11815,337,44313,4105,23808,3988869,52202,194,0,43582,0,128669,0,9896,3442389,2556,32891,5904,48494,106038,0,8886,4865,341,15363,4413442,1044,162,2880,2362,229,423,580,6033156,0,70256,7783,521,1046936,588,2223,14909,6049,330,11910,7190,15665825,62328,63464,201126,18943,193664,1964,53929,10427795,112534,22325,128,1623,549,1057,125,2,4937,6316210,9598,340,4466,37867,10323,15407,38406,1653,1951704,1307,20064,16675,22655,13126,149798,13081,3870,1731,2295,6499820,23741,643,13043188,92078,2311,21318,1,11977,10170,3471,22005,4017,5493919,85081,11285,4414127,0,1,2158,204822,8690,0,4,14427,75309,16471,15933,1636565,20529,313576,3362,10573,1538822,8679,7998,5568093,50972,27342,15413,6029,39816,32093,34,22528,8502,23030,19173,16201,7596378,16745,2250,3876,14145,2009664,22129,231,21131,24,48,165,1661,5466,7915,559,1,0,29898,6896737,8984,0,23439,11507,2025,44816,21519,191312,0,520,7267023,6954,0,250,7746,4914,16770,509,2247,4929,824,1726687,0,21187,7363,21063,4443,3262106,99,7910,45965,12960,385,0,4345,16,60385,6367,5047,5466,47,18042,38687,15753,8223848,1957,0,354,3130919,338,13684,5512,174,18330,55,1,1720,0,0,0,859251,0,172,0,277,3028938,56279,16918,2316,28,7708,23818,3176,14329,29153,23393,2372670,213944,25081,23491,1271,11005,86560,178774,31298
2024-12-01 00:20:00,156125,60321,4592225,90847,30360,54640,59415,34,81245,5003,12731153,0,2104,8602082,0,10093,54754,24263,424,0,1297,62630,32111,2423,5494,99016,4644,4185993,18989,119598,127547,48,317,24121,3415,571,218,127793,6754,339332,3795936,119448,440,1449,32392,100,133738,0,12788,3381843,3167,52671,9007,46896,289860,22,5566,12008,1745,24053,5300355,448,17940,2444,2008,108,799,387,5198359,0,13372,6517,596,721005,1591,632,27692,11316,588,8970,4480,14693448,65135,16677,98971,25549,291284,48920,49343,8251613,75512,10936,1072,718,1093,17070,6353,2042,7640,5143808,19196,547,2072,25645,9378,2577,14689,54,1836691,9618,29680,8133,21165,9554,133670,18541,2977,2939,3178,6600547,14340,2181,12211536,91957,3307,23198,563,9230,3558,21067,31187,5396,3658446,80240,11977,4089229,0,30,2792,278710,38517,114,173,11947,35744,6457,1573,1757632,12965,176270,3635,896,953297,8453,7453,4073490,32418,16289,9134,4600,92669,618085,6595,17183,4953,4033,22399,13,7371611,24736,3299,3452,3930,1719195,26027,143,72440,338,0,226,125,2729,915,0,570,0,22527,6529196,13842,0,14212,17819,2409,19606,883,14339,7487,2096,6969053,7466,0,0,3247,5644,27029,238,11994,528,456,1859783,2,24628,8694,25211,1729,2844161,2481,18881,31704,3779,1378,0,6977,0,16283,0,3410,11378,53,25095,218,22317,8270304,0,1701,602,2505127,382,6145,2,3233,35415,69,0,17801,0,0,0,943598,0,4,0,199,2145544,47968,32338,1294,87,24703,53357,8464,39847,23356,12540,1799393,331695,14842,47445,1812,8853,26393,145654,45554
2024-12-01 00:25:00,32753,22558,3322324,13530,18167,46234,43281,0,22717,0,12731337,868,815,8637988,0,2198,11709,18700,0,0,682,19309,1628,15979,5518,9429,1919,3992199,27828,19320,76313,712,82,37324,633,6425,734,35874,18576,12798,5757913,57777,565,0,45723,0,127066,0,2847,8379355,2712,50027,11305,36041,124344,459,19126,12579,6834,9824,4089979,51,8347,3622,4588,414,994,1066,4819301,0,16961,6395,839,1645147,3496,571,42788,192,0,25412,12053,15294379,102632,17195,196842,17385,86464,33546,34241,10117018,40202,12742,526,54,4543,334,789,949,7534,4945664,5650,0,5373,15516,12383,45969,35311,36,1687327,6332,55692,10203,26275,5932,115950,19357,6121,994,4556,5907218,12754,2211,13537148,69827,1143,13219,66,1527,4053,3492,10966,3540,4283750,92871,25439,8601135,0,165,12230,278028,1929,1045,0,10167,33546,13632,13077,2005115,22540,18951,4884,8243,832072,14019,9332,3845852,39139,21960,4137,18176,106186,583016,4299,47417,4036,14009,12158,30,6032136,28161,9255,1786,2621,1153164,17734,6872,47508,256,0,358,350,5674,5380,231,292,0,7650,6311061,13810,674,28575,5791,260,32123,5368,21246,17302,7928,6994888,13179,414,51,15225,4795,13845,3108,14601,2852,3048,1638404,22785,13240,2121,54357,5616,3393306,605,11386,39675,25380,1317,1347,26864,1238,27085,32443,2701,20145,1338,75894,1683,46747,7367106,289,233,427,2270781,3355,22871,10217,4655,29732,8858,0,14546,0,0,0,898946,0,5804,0,641,2558276,61515,9594,2060,41,19048,61639,46471,41938,45512,5464,2168312,10630,4779,27919,145,4247,6972,33730,18328
2024-12-01 00:30:00,37445,47062,3679720,21065,31831,10410,37218,0,23822,548,9875472,1571,0,8537716,0,226,29783,55891,7,0,88,36139,487,5220,40957,6080,22241,4714041,829,38995,126719,152,724,1764756,2191,2837,11865,25491,2660,6028,4297562,95097,2318,2145,64892,32,169639,4538,95439,12299933,5952,14802,1428,51395,1862,2601,1400,22375,567,20691,5372839,6689,913,1850,5238,683,2390,2940,4861416,0,17892,6810,1123,787697,3638,665,3226,0,0,14834,3286,13683503,20735,5491,33561,21289,31522,10820,2195,7834836,53619,1854,34,13,634,148,291,19,931,4408298,42320,171,1380,6396,12369,39876,8841,542,1847987,5604,31446,11960,16918,11911,527690,13940,1690,162,4433,4614317,27411,645,11072939,34968,25467,52635,14482,5763,42397,40740,51605,15653,6595425,85687,16484,12387812,0,30,3318,442601,29858,670,6,3559,35311,12210,570,1963614,35763,84729,13548,2759,1187450,28877,7662,3821520,49407,45043,12275,28812,29930,300428,8291,23610,9185,154,26451,1039,5489895,26758,8122,3312,1737,1008961,3797,1480,25366,523,41,649,1423,3709,1239,229,1709,0,8359,6493121,6138,128,21596,16311,384,41673,234,16612,4317,16000,5984407,10592,0,226,13085,13913,2123,12077,124737,17072,14720,2620386,18409,17091,3964,22406,10647,3061052,0,25190,18542,18407,46,0,2882,0,23226,7843,11178,4427,478,54692,1033,32450,6755476,717,556,55,2241303,4296,11319,0,1435,25781,98,0,13734,0,0,0,918905,0,3,0,1802,2242430,42139,2412,1220,1,10562,29123,12982,21242,5788,1158,1852383,2718,436,24550,383,371,834,38419,6710
2024-12-01 00:35:00,49096,24028,3727520,15770,58321,1956,28144,0,13468,3886,8983839,0,0,8306830,409,55,46023,69236,2072,357,0,14415,4820,4401,43253,32212,16996,4524907,437,33289,73027,0,99,467595,116,179,2950,4050,2194,5027,6542415,204923,3299,6892,16871,228,142506,1545,136722,4573376,3027,17740,1749,17947,19038,0,5147,4604,527,19105,3784152,1063,6003,94445,3829,466,1401,144,5777225,0,25835,13188,0,640898,2659,4,10234,1243,0,16992,8950,14112026,14535,12834,65039,12343,27752,16657,44628,8092795,8723,15277,36,0,1381,877,6606,48,456,4641226,5842,269,665,8947,8085,22898,8722,360,2268942,3976,7962,11465,25478,15949,258946,28240,2389,187,3007,4918807,8611,3590,11458988,6738,2093,18698,338,32619,3115,10116,29894,8042,4841444,40883,10552,4871746,1332,1197,3094,533600,8075,5847,630,12751,79363,1183,7106,1979186,31968,54781,45508,27815,1168352,7778,4779,1946407,38484,12794,7521,18695,29015,20537,7422,27043,5309,280,6390,3319,5967514,23776,18506,1652,12890,1100849,6799,3116,20391,906,47,1062,148,3835,7216,0,19,0,12232,6527508,6468,108,28406,10540,544,28846,167,86854,1711,5148,9595177,21626,0,7324,17465,8687,930,2619,9318,13865,762,2397479,14185,13887,5559,27265,3038,2931353,7879,17140,74417,12980,50,1,15168,18,67337,2018,9063,2086,225,317777,657,52184,7508547,28237,23967,9573,2811357,53682,315379,0,138,18161,17348,0,37542,0,0,0,866757,0,1,0,285,2645026,22932,5700,23662,53,4766,15014,3611,12711,6566,4643,2296483,8844,1162,22059,340,1791,2525,43380,12749
